1a1r_A|P27958|AC=BC	1a1r_C|O39914|AC=BC
4oh4_A|O22476|AE	4oh4_E|Q9FMZ0|AE
4oo6_A|Q92973|AB	4oo6_B|Q14498|AB
4ozf_A|P01909|AJ	4ozf_J|P04722|AJ
4ozf_B|Q5Y7D3|BJ	4ozf_J|P04722|BJ
4p6z_M|P35585|MT	4p6z_T|Q10589|MT
4p6z_S|P61966|SV	4p6z_V|P19554|SV
4pg9_A|P01901|AC	4pg9_C|O57286|AC
4pxf_A|P02699|AB	4pxf_B|P08168|AB
4pyu_A|Q9BZL1|AC	4pyu_C|O43290|AC
4pz5_A|P02751|AB	4pz5_B|O50835|AB
4qh7_A|Q24117|AC=BC	4qh7_C|Q9XZ31|AC=BC
4qmf_B|P25586|BA	4qmf_A|P40546|BA
4qmg_A|Q7KZF4|AF=BF	4qmg_F|Q86UE4|AF=BF
4qqi_A|Q9H9E1|AX	4qqi_X|Q2KHR2|AX
4qrp_A|P01889|AC	4qrp_C|X2G898|AC
4qt7_A|P00523|AB	4qt7_B|V5RF47|AB
4r7a_B|Q09028|BA	4r7a_A|Q8IWS0|BA
4rey_A|Q9BQQ3|AB	4rey_B|Q08379|AB
4rku_B|P05311|BI	4rku_I|P17227|BI
4rku_L|E1C9L1|LI	4rku_I|P17227|LI
4rof_A|Q96J02|AC	4rof_C|Q9H3M7|AC
4ru2_A|Q8VH51|AB	4ru2_B|P26369|AB
4s0r_K|P12425|K1=L1=M1	4s0r_1|Q45666|K1=L1=M1
4tvq_C|Q9BUL8|CE	4tvq_E|Q9BSQ5|CE
4tzl_A|Q95XC8|AC	4tzl_C|G5EBG0|AC
4tzm_A|Q95XC8|AC	4tzm_C|O01820|AC
4u0c_A|P12493|AB	4u0c_B|P49790|AB
4u7e_B|Q9NP79|BA	4u7e_A|P53990|BA
4ui9_O|Q9UJX4|OU	4ui9_U|Q9UKT4|OU
4um9_A|P06756|AE	4um9_E|P10600|AE
4um9_B|P18564|BE	4um9_E|P10600|BE
4upu_A|P0DP23|AB	4upu_B|P23677|AB
4uqy_A|Q9I746|AB	4uqy_B|Q9I749|AB
4wjv_C|P25382|CI	4wjv_I|P40078|CI
4wnn_D|P02293|DT	4wnn_T|P32558|DT
4wsf_A|Q9VFS5|AB	4wsf_B|Q9VHP9|AB
4xbu_A|O96013|AB	4xbu_B|Q96EL1|AB
4xgr_E|P9WF77|EF	4xgr_F|P9WJ35|EF
4xhv_A|M9NFI9|AB	4xhv_B|Q3KN41|AB
4xi7_A|Q86YT6|AC	4xi7_C|P78504|AC
4xpn_A|P62136|AB	4xpn_B|O75807|AB
4xyn_A|P04271|AP	4xyn_P|Q15109|AP
4ycw_A|Q15046|AC=BC	4ycw_C|Q13155|AC=BC
4yi0_C|P52293|CA	4yi0_A|P52591|CA
4yje_A|P25054|AB	4yje_B|Q5JTC6|AB
4ynl_A|P27709|AC=BC	4ynl_C|O52748|AC=BC
4ypi_A|P18272|AE	4ypi_E|Q05127|AE
4ysi_A|Q93009|AB	4ysi_B|F5HF68|AB
4z33_A|O00560|AC	4z33_C|O75084|AC
4z96_A|Q93009|AC	4z96_C|P26358|AC
4zp3_A|P13861|AM=BM	4zp3_M|Q9P0M2|AM=BM
4zri_A|P35240|AC	4zri_C|Q9NRM7|AC
4zuv_A|Q860N6|AC	4zuv_C|P16082|AC
5a2p_A|Q9JI92|AE	5a2p_E|P34901|AE
5a53_C|P36160|CB	5a53_B|Q08746|CB
5aer_A|P62168|AB	5aer_B|P14416|AB
5anr_A|A5YKK6|AC	5anr_C|Q9NRA8|AC
5anr_B|P26196|BC	5anr_C|Q9NRA8|BC
5b16_A|Q9NRR4|AB	5b16_B|Q8WYQ5|AB
5b6c_A|P55072|AB	5b6c_B|Q92890|AB
5bnw_A|O15294|AD	5bnw_D|Q03252|AD
5c6v_A|Q5NBT9|AE	5c6v_E|Q9SV55|AE
5cfc_A|C0MHL9|AD	5cfc_D|C3U5A3|AD
5cfc_B|E3TMG8|BD	5cfc_D|C3U5A3|BD
5cqx_B|P0AE70|BC	5cqx_C|P0AE72|BC
5crv_A|Q9H3S7|AC	5crv_C|O75886|AC
5ctt_A|P52293|AB	5ctt_B|Q15020|AB
5cve_A|Q9BV86|AD	5cve_D|P02283|AD
5d2m_B|P61956|BG=EG	5d2m_G|Q9Y4E5|BG=EG
5dif_C|P30822|CD	5dif_D|Q17RY0|CD
5dn2_C|O60462|CE=DE	5dn2_E|P15692|CE=DE
5dow_A|P0DP23|AB	5dow_B|Q9WVC8|AB
5dpw_A|Q9BXW4|AB	5dpw_B|Q9Y4G2|AB
5dx1_A|Q86X55|AF	5dx1_F|P11940|AF
5e0l_A|Q24117|AC	5e0l_C|Q9H4H8|AC
5e4w_C|O22265|CE	5e4w_E|Q8LBP4|CE
5eib_C|P81947|CF	5eib_F|Q9HC77|CF
5eib_D|Q6B856|DF	5eib_F|Q9HC77|DF
5ekf_A|P52293|AB	5ekf_B|P28715|AB
5et0_A|Q9ET47|AB	5et0_B|Q1EG27|AB
5f0o_A|C5DGP8|AE	5f0o_E|C5DNF8|AE
5f1n_A|J9UGS3|AC	5f1n_C|C1KG39|AC
5f3y_A|Q99MZ6|AB	5f3y_B|Q8K3X6|AB
5fg8_A|Q00168|AB	5fg8_B|Q02280|AB
5frp_A|Q04264|AC	5frp_C|Q12158|AC
5frq_A|O25242|AG	5frq_G|O25336|AG
5fvl_A|P52917|AC=BC	5fvl_C|Q04272|AC=BC
5g04_L|Q9UM13|LS	5g04_S|P34244|LS
5g1x_A|O14965|AB	5g1x_B|P04198|AB
5glf_A|P55072|AB	5glf_B|Q9BUN8|AB
5gnv_A|P31016|AB	5gnv_B|Q9QYR6|AB
5gow_B|P32780|BA	5gow_A|Q14186|BA
5gp7_A|O95271|AB	5gp7_B|Q9UHP3|AB
5gr7_A|P01902|AC	5gr7_C|K9N5Q8|AC
5grq_B|Q9UER7|BD	5grq_D|P46100|BD
5gtb_A|Q9FIG9|AB	5gtb_B|Q9XII1|AB
5h2c_A|P35845|AB	5h2c_B|P38881|AB
5h3j_A|Q99JX3|AB	5h3j_B|Q8R2X8|AB
5hax_A|G0S7B6|AB	5hax_B|G0S156|AB
5hb0_B|G0S7B6|BE=CE	5hb0_E|G0SAK3|BE=CE
5hkh_A|P61960|AB=CB	5hkh_B|Q9GZZ9|AB=CB
5hog_A|Q01454|AD	5hog_D|P38859|AD
5hoi_A|Q01454|AD	5hoi_D|Q02208|AD
5hvz_A|P00514|AC=BC	5hvz_C|Q9BSF0|AC=BC
5hyp_A|P04003|AB	5hyp_B|W0T1Y4|AB
5i7z_A|O97111|AB	5i7z_B|Q9BUF7|AB
5igo_A|P43254|AU=DU	5igo_U|Q96RU8|AU=DU
5ip7_B|P08518|BQ	5ip7_Q|P41895|BQ
5iy4_A|P12004|AB	5iy4_B|Q9H040|AB
5j3q_A|Q9P805|AB	5j3q_B|Q10108|AB
5j6g_C|P01898|CE	5j6g_E|Q9DBG6|CE
5j9k_A|Q5NBT9|AC	5j9k_C|Q2RBP2|AC
5jge_D|P35193|DF=EF	5jge_F|P14904|DF=EF
5jhq_A|O95271|AE	5jhq_E|Q9UIQ6|AE
5k8q_A|P0DP23|AB	5k8q_B|F1RAX4|AB
5k9s_A|P52293|AB	5k9s_B|P35680|AB
5ksa_A|P01909|AJ	5ksa_J|P08079|AJ
5l23_A|Q64010|AB	5l23_B|Q13905|AB
5lcw_O|Q9UJX4|OD	5lcw_D|P60006|OD
5ljn_A|Q96EP0|AC	5ljn_C|Q9UM82|AC
5lm1_A|Q9H3S7|AB	5lm1_B|Q9NZ09|AB
5lsf_A|Q9WCE9|AD	5lsf_D|A0A2S0CUG6|AD
5lsj_A|Q9H081|AP	5lsj_P|Q03188|AP
5lsj_N|Q96IY1|NP	5lsj_P|Q03188|NP
5lsw_A|Q92600|AB=CB	5lsw_B|Q9VV48|AB=CB
5ly3_A|A3MWN5|AB	5ly3_B|A3MWN6|AB
5m0i_B|P36068|BH	5m0i_H|P38272|BH
5m72_A|O76094|AB	5m72_B|Q9UHB9|AB
5mav_C|P12004|CG	5mav_G|Q0MQR4|CG
5mdx_A|P83755|AT	5mdx_T|P61839|AT
5mdx_D|P56761|DT	5mdx_T|P61839|DT
5mdx_L|P60129|LM	5mdx_M|P62109|LM
5mdx_L|P60129|LT	5mdx_T|P61839|LT
5mdx_b|P56777|bT	5mdx_T|P61839|bT
5mlo_A|P12004|AB	5mlo_B|Q5FWF4|AB
5mn9_A|P62992|AC=BC	5mn9_C|Q8N5J2|AC=BC
5mrw_A|P03959|AD	5mrw_D|P36937|AD
5mrw_B|P03960|BD	5mrw_D|P36937|BD
5mu3_A|Q6CVQ9|AC	5mu3_C|Q6CJY0|AC
5mu3_B|Q6CRN7|BC	5mu3_C|Q6CJY0|BC
5n6b_A|P04439|AC=DC	5n6b_C|P03314|AC=DC
5n74_A|H0XPX6|AI=BI	5n74_I|P32526|AI=BI
5n85_A|P27694|AB	5n85_B|Q96LW4|AB
5no2_Q|P0AG63|QL	5no2_L|P0A7S3|QL
5o5j_S|A0QSD5|Sg	5o5j_g|A0R215|Sg
5o9u_A|P30419|AC	5o9u_C|O81223|AC
5o9z_L|Q2TAY7|LR	5o9z_R|Q13123|LR
5oj5_A|Q8DI95|AB	5oj5_B|P0A444|AB
5ona_B|Q92600|BC	5ona_C|P22745|BC
5ooq_A|P47047|AC	5ooq_C|Q12080|AC
5oqt_A|Q5L1G5|AC	5oqt_C|A5A616|AC
5osi_A|Q9UBQ0|AC	5osi_C|Q5ZT54|AC
5ovp_A|Q9JLU4|AB	5ovp_B|O88917|AB
5ow5_A|Q8BG40|AE	5ow5_E|Q80VC9|AE
5ow5_B|E9PZI6|BE	5ow5_E|Q80VC9|BE
5oxx_A|Q74N74|AB	5oxx_B|Q74M37|AB
5tqc_A|Q92973|AB	5tqc_B|G0SFC3|AB
5trz_A|P01902|AP	5trz_P|P9WQP1|AP
5txe_A|E8RUP5|AC	5txe_C|E8RUP8|AC
5u5r_A|P52293|AB	5u5r_B|P54278|AB
5ua5_A|P42485|AB	5ua5_B|A0A8D1DEN9|AB
5uwj_C|P30822|CD	5uwj_D|Q06787|CD
5uwq_C|P30822|CD	5uwq_D|O00311|CD
5uww_C|P30822|CD	5uww_D|O75398|CD
5v1u_A|D1CIZ5|AE	5v1u_E|D1CIY7|AE
5v1y_A|Q16186|AE	5v1y_E|Q99460|AE
5v8k_A|Q1MX24|AB	5v8k_B|B0TAT4|AB
5vao_B|Q77DJ5|BE=DE	5vao_E|O72142|BE=DE
5vaq_A|Q86Z14|AC	5vaq_C|Q9NSA1|AC
5vf3_A|P04535|AZ=BZ	5vf3_Z|P18056|AZ=BZ
5vmo_A|Q5GAF0|AB	5vmo_B|B8JK68|AB
5w5c_A|P63045|AE	5w5c_E|P63041|AE
5w5c_B|P32851|BE	5w5c_E|P63041|BE
5w5c_F|P21707|FE	5w5c_E|P63041|FE
5w69_A|P10321|AI	5w69_I|Q13761|AI
5w6v_A|Q9UL18|AB	5w6v_B|Q8NDV7|AB
5we0_A|O13852|AC	5we0_C|Q96TL7|AC
5wjc_A|O94244|AB	5wjc_B|O42995|AB
5wkn_A|Q88435|AC	5wkn_C|P11208|AC
5wlg_A|P01899|AC	5wlg_C|A0A0Y9W4B5|AC
5wou_A|Q7KRY7|AV	5wou_V|Q9VE13|AV
5wtb_A|Q932F7|AE	5wtb_E|P08603|AE
5x8n_A|P52293|AB	5x8n_B|Q8AZK7|AB
5xmf_A|C6ZK72|AC	5xmf_C|P16087|AC
5xod_A|Q15796|AB	5xod_B|P12755|AB
5xpt_A|Q9UI95|AB	5xpt_B|Q96JM3|AB
5xvw_A|Q9SRM4|AD=BD	5xvw_D|Q9FKW0|AD=BD
5xwr_A|Q09028|AC=BC	5xwr_C|Q9UJQ4|AC=BC
5yay_A|E9Q238|AB	5yay_B|Q9QXL2|AB
5yir_D|Q9DCD6|DC	5yir_C|Q01484|DC
5ylx_A|H6TIB1|AC	5ylx_C|Q9YN02|AC
5ymw_A|P15979|AC	5ymw_C|P00526|AC
5zt0_A|P62137|AG	5zt0_G|Q86XI6|AG
6a30_A|Q62768|AP	6a30_P|P63045|AP
6a6w_A|O60158|AB	6a6w_B|Q09825|AB
6aaf_A|O94272|AB	6aaf_B|Q09906|AB
6akl_A|Q9BRV8|AC=BC	6akl_C|Q13033|AC=BC
6am0_A|Q6CIU1|AC	6am0_C|Q6CYC5|AC
6am0_B|Q6CPV9|BC	6am0_C|Q6CYC5|BC
6b03_A|Q6D8U3|AC	6b03_C|P16972|AC
6b0x_A|A4ZFB3|Aa	6b0x_a|A4ZFB2|Aa
6b2z_M|P00854|MT	6b2z_T|P81451|MT
6b3x_A|Q05048|AB	6b3x_B|Q12996|AB
6bgg_B|Q15059|BA	6bgg_A|Q14839|BA
6bgh_A|Q15059|AB	6bgh_B|P51532|AB
6bnh_A|O60885|AB	6bnh_B|Q6NYC1|AB
6bw4_C|Q09028|CB	6bw4_B|Q9HAZ2|CB
6cf6_B|Q6PFX9|BC	6cf6_C|Q9NTX7|BC
6d6q_C|Q96B26|CJ	6d6q_J|Q01780|CJ
6d6q_F|Q5RKV6|FJ	6d6q_J|Q01780|FJ
6dei_A|P25651|AC=BC	6dei_C|Q08729|AC=BC
6do4_A|Q9Y2U9|AC	6do4_C|Q9BQE4|AC
6do5_A|Q9Y2U9|AC	6do5_C|O94782|AC
6drt_A|P04525|AD	6drt_D|P00970|AD
6dsz_A|Q16531|AC	6dsz_C|Q9BW61|AC
6e2p_A|O60674|AC	6e2p_C|P48357|AC
6e49_B|P15873|BD	6e49_D|P07271|BD
6e5x_A|Q77DJ5|AB	6e5x_B|Q7Z6E9|AB
6ef3_1|P38624|1n	6ef3_n|P30657|1n
6ef3_2|P25043|2n	6ef3_n|P30657|2n
6ei2_A|P04439|AC	6ei2_C|P30279|AC
6ej7_A|Q86Y38|AB	6ej7_B|P02760|AB
6eop_A|Q6V1X1|AD	6eop_D|P63165|AD
6erg_E|P13010|EC	6erg_C|Q9H9Q4|EC
6esb_6|P03088|67	6esb_7|P03094|67
6et5_1|P04124|12=42	6et5_2|P04126|12=42
6et5_3|P04123|32	6et5_2|P04126|32
6ewc_A|P04439|AC	6ewc_C|Q8NC44|AC
6exj_A|Q9JLU4|AB	6exj_B|P30680|AB
6f0w_A|I6QVT6|AS	6f0w_S|B3RXX2|AS
6f0x_Z|Q13257|ZQ	6f0x_Q|Q12834|ZQ
6f0y_A|P32447|AB	6f0y_B|Q07794|AB
6f8f_D|O43791|DG	6f8f_G|P52945|DG
6fbx_A|Q8UWD5|AB	6fbx_B|Q4V925|AB
6fq4_A|P12003|AB	6fq4_B|Q824H6|AB
6g04_A|Q06672|AB	6g04_B|P39938|AB
6gc3_A|P53617|AB	6gc3_B|Q00416|AB
6giq_a|P00401|ag	6giq_g|P10174|ag
6giq_c|P00420|cg	6giq_g|P10174|cg
6giq_c|P00420|ck	6giq_k|P32799|ck
6gzj_A|P63167|AB	6gzj_B|P20917|AB
6h9n_A|P06136|AB	6h9n_B|P0A6S5|AB
6hby_A|P01903|AC	6hby_C|Q13641|AC
6hby_B|P01911|BC	6hby_C|Q13641|BC
6hc8_A|Q9NWT6|AE	6hc8_E|O75762|AE
6hip_A|Q96I25|AC=BC	6hip_C|P04618|AC=BC
6hm5_A|A0A1D5P3M9|AB	6hm5_B|Q99638|AB
6hvo_B|P12004|BD	6hvo_D|Q9HCU8|BD
6hy7_A|Q9UGM1|AB	6hy7_B|P0C1D0|AB
6iat_A|Q859I3|AG=DG	6iat_G|Q859I2|AG=DG
6idx_A|Q96JJ3|AC	6idx_C|Q3UHD1|AC
6ifc_A|Q8ZM86|AB	6ifc_B|Q7CPV2|AB
6ilf_A|A0A125R585|AC	6ilf_C|O89342|AC
6ixp_A|P19524|AB	6ixp_B|Q06324|AB
6ixr_A|P19524|AB	6ixr_B|Q03824|AB
6j0x_A|P38850|AE	6j0x_E|Q06164|AE
6j29_A|P04439|AC	6j29_C|P9WNK3|AC
6j4q_J|Q86V25|JK	6j4q_K|Q8N300|JK
6j56_A|Q9UM54|AC	6j56_C|O60784|AC
6j8e_A|Q99250|AD	6j8e_D|P0C195|AD
6j8y_C|O60671|CD	6j8y_D|Q9BSD3|CD
6jjw_A|Q5SXA9|AU	6jjw_U|Q15678|AU
6jjx_A|Q5SXA9|AC	6jjx_C|Q4VCS5|AC
6jzn_A|Q8VY16|AE	6jzn_E|Q9FK13|AE
6k07_A|Q9UI95|AB	6k07_B|Q6ZNX1|AB
6k71_P|P41091|PM	6k71_M|P20042|PM
6kbm_A|P39968|AB	6kbm_B|Q06628|AB
6kdr_A|Q5VVY1|AD	6kdr_D|P07199|AD
6kvm_A|Q4U5Z6|AC	6kvm_C|P67883|AC
6kvm_B|Q4U600|BC	6kvm_C|P67883|BC
6l0v_A|F4K0X5|AB	6l0v_B|Q5XVG3|AB
6l9f_A|Q62296|AC	6l9f_C|Q8N9Y4|AC
6lph_A|Q9VG38|AB	6lph_B|P23647|AB
6m2m_B|Q9LQQ4|BM	6m2m_M|Q2R2Z3|BM
6m4o_A|Q8N138|AB	6m4o_B|O15269|AB
6mf6_A|P32562|AC	6mf6_C|P32325|AC
6mi7_F|P0AF98|FC	6mi7_C|P0ADV9|FC
6mi7_G|P0ADC6|GC	6mi7_C|P0ADV9|GC
6mjc_A|Q6FVN3|AB	6mjc_B|Q6FKQ5|AB
6nf7_A|P16391|AC	6nf7_C|P29826|AC
6nid_A|O14936|AD=BD	6nid_D|Q9ULB1|AD=BD
6nt9_A|Q9UHD2|AC=BC	6nt9_C|E1C7U0|AC=BC
6o09_A|Q9M7Q7|AB	6o09_B|K7MRE7|AB
6o20_F|P62157|FE	6o20_E|Q9XSM3|FE
6p3w_B|P20248|BE	6p3w_E|Q13415|BE
6p64_A|Q53Z42|AC	6p64_C|Q5VTY9|AC
6p9y_R|P41586|RP	6p9y_P|P18509|RP
6pau_A|O60551|AC	6pau_C|P62330|AC
6peu_A|Q58494|AM=BM	6peu_M|Q58256|AM=BM
6pnj_H|G6FMF0|HW	6pnj_W|G6FSH2|HW
6pnj_Q|G6FMD3|QW	6pnj_W|G6FSH2|QW
6ptb_A|P04439|AC	6ptb_C|Q68CZ6|AC
6pun_A|Q09312|AE	6pun_E|P91820|AE
6px6_A|Q08AS3|AC	6px6_C|P16315|AC
6px6_B|A0A0U5IHY9|BC	6px6_C|P16315|BC
6pyj_A|A0A583ZBQ2|AC	6pyj_C|P37268|AC
6qdw_s|P61175|sz	6qdw_z|P02526|sz
6qh1_C|Q03392|CD	6qh1_D|Q10585|CD
6qld_e|P36012|eC	6qld_C|P35201|eC
6qld_f|P02309|fC	6qld_C|P35201|fC
6qld_g|P04911|gC	6qld_C|P35201|gC
6qld_h|P02293|hC	6qld_C|P35201|hC
6qnx_A|Q8N3U4|AC	6qnx_C|P49711|AC
6qnx_B|O60216|BC	6qnx_C|P49711|BC
6qtq_A|P43254|AB	6qtq_B|Q9FN03|AB
6qtt_A|P43254|AB	6qtt_B|Q8W191|AB
6qtu_A|P43254|AB	6qtu_B|Q96288|AB
6qtv_A|P43254|AB	6qtv_B|Q9FE22|AB
6qtw_A|P43254|AB	6qtw_B|Q43125|AB
6qxf_J|G3ECR2|JK	6qxf_K|G3ECR3|JK
6r16_E|O94901|EG=FG	6r16_G|Q8N205|EG=FG
6r2l_A|P04439|AC	6r2l_C|Q9BXX3|AC
6rmv_A|P62874|AC	6rmv_C|Q2TV84|AC
6ro1_A|P42285|AB	6ro1_B|O15381|AB
6s07_A|D1A7C3|AC	6s07_C|D1ADF2|AC
6s22_A|H0ZAB5|AF	6s22_F|Q9GZV9|AF
6s8r_A|P23128|AB	6s8r_B|Q7KQM6|AB
6sba_A|Q62296|AB	6sba_B|Q80V24|AB
6seo_A|Q15561|AL	6seo_L|A6NEQ2|AL
6sz5_A|P0DP24|AB	6sz5_B|Q96PH1|AB
6t7y_A|Q9UYX8|AB	6t7y_B|Q9V2F4|AB
6tyu_A|Q6DDS9|AB	6tyu_B|Q9BWK5|AB
6tyv_A|Q6DDS9|AB	6tyv_B|Q14191|AB
6uj7_A|P01889|AC	6uj7_C|P48735|AC
6urq_B|O95271|BC	6urq_C|O60829|BC
6v0n_A|O14744|AC	6v0n_C|Q9BRS2|AC
6v0o_A|O14744|AD	6v0o_D|P54105|AD
6v9z_A|A3DCU1|AC	6v9z_C|A3DCU2|AC
6vb2_A|F4NBQ8|AC	6vb2_C|Q9BYJ1|AC
6vme_I|Q99816|IA	6vme_A|Q96EY5|IA
6vme_N|Q9H9H4|NA	6vme_A|Q96EY5|NA
6vme_Y|Q9UK41|YA	6vme_A|Q96EY5|YA
6vro_A|Q13362|AB	6vro_B|Q9Y4K1|AB
6wj6_A|P16033|AT	6wj6_T|P74787|AT
6wj6_D|P09192|DT	6wj6_T|P74787|DT
6wj6_L|Q55354|LM	6wj6_M|P72701|LM
6wj6_L|Q55354|LT	6wj6_T|P74787|LT
6wly_A|O96013|AB	6wly_B|P53667|AB
6wme_A|Q9UH99|AB	6wme_B|Q6ZMZ3|AB
6wx7_A|P52293|AB	6wx7_B|P48431|AB
6x5g_A|Q9UQM7|AB	6x5g_B|Q96NW7|AB
6xa6_B|Q14160|BC	6xa6_C|Q9ULK5|BC
6xar_A|P22681|AC	6xar_C|Q8R4L0|AC
6xaw_A|P22579|AB	6xaw_B|P39001|AB
6xnj_A|Q9HD26|AB	6xnj_B|Q8XAN6|AB
6xqn_C|D6WIX5|CG	6xqn_G|D6X268|CG
6xwv_A|Q9VHP9|AE=CE	6xwv_E|Q9VEN2|AE=CE
6y3z_A|P53550|AB	6y3z_B|Q12517|AB
6y9p_A|Q80VW5|AC=BC=IC	6y9p_C|Q6PPF3|AC=BC=IC
6yar_A|P0DP92|AD=BD	6yar_D|P0ADJ3|AD=BD
6yba_D|P11820|DW	6yba_W|B5SNS1|DW
6ykp_B|A0A0H3PAV1|BF=CF=DF	6ykp_F|A0A0H3PBX6|BF=CF=DF
6yns_A|P0DP23|AN=CN	6yns_N|P0DKX7|AN=CN
6yoo_A|Q9H0R8|AB	6yoo_B|Q9Y512|AB
6ysl_D|P28611|DA=EA	6ysl_A|P28612|DA=EA
6z1u_A|P19483|Ah	6z1u_h|P02721|Ah
6z1u_S|P13621|Sh	6z1u_h|P02721|Sh
6z1u_b|P13619|bh	6z1u_h|P02721|bh
6z9w_A|A0A140T913|AC	6z9w_C|P13726|AC
6zw0_A|Q57968|AC=BC	6zw0_C|Q58261|AC=BC
7a1i_A|A0A3L6L5Q1|AB	7a1i_B|A0A3L6LBE5|AB
7a23_c|Q84W12|cn	7a23_n|Q9ZUX4|cn
7a23_p|Q9FWR5|pn=qn	7a23_n|Q9ZUX4|pn=qn
7a8u_A|P35609|AB	7a8u_B|Q9NP98|AB
7ad3_B|D6VTK4|BH	7ad3_H|P08539|BH
7al2_A|A5UK83|AB	7al2_B|B9AGF7|AB
7aqr_D|P93306|DZ	7aqr_Z|Q8RWA7|DZ
7aqr_V|Q9FLX7|Vr	7aqr_r|Q9SD78|Vr
7bn3_A|P11940|AD	7bn3_D|P15130|AD
7bqx_G|P03233|GO=KO	7bqx_O|P03186|GO=KO
7bqx_x|P03226|xO	7bqx_O|P03186|xO
7bxt_G|P04908|GK	7bxt_K|O57392|GK
7bxt_H|Q16778|HK	7bxt_K|O57392|HK
7bye_B|A6TJ73|BA=CA	7bye_A|A6TJ72|BA=CA
7c41_A|P01116|AD	7c41_D|P53816|AD
7c5d_A|Q15554|AC	7c5d_C|Q8NEM0|AC
7cfc_A|A1ZAC4|AF	7cfc_F|Q7PLK0|AF
7cg0_j|P0A1I7|j9	7cg0_9|P15928|j9
7ciq_A|O78189|AC	7ciq_C|P18583|AC
7cjq_A|O46882|AC	7cjq_C|P24306|AC
7cna_D|Q9Y657|DE	7cna_E|Q9BUA3|DE
7cqp_B|P0DP26|BC	7cqp_C|Q9QUQ5|BC
7cru_A|P52292|AB	7cru_B|P61978|AB
7cz5_R|Q02643|RP	7cz5_P|P01286|RP
7d6f_A|Q9WVQ1|AB	7d6f_B|Q9EQG6|AB
7dee_A|O15519|AB	7dee_B|Q14790|AB
7ds3_B|P14315|BC	7ds3_C|Q9Z0P5|BC
7du4_A|P0CL62|AQ=BQ	7du4_Q|P9WJ85|AQ=BQ
7du5_A|P71650|AC=BC	7du5_C|P0CL61|AC=BC
7dvq_3|Q15393|3y	7dvq_y|Q92917|3y
7e34_A|P24941|AC	7e34_C|O94901|AC
7e34_B|Q5MJ70|BC	7e34_C|O94901|BC
7e9h_B|P62873|BC	7e9h_C|P59768|BC
7ea7_B|O95166|BC	7ea7_C|Q9H6S1|BC
7eg6_G|P06897|GM	7eg6_M|P18480|GM
7eg6_H|P02281|HM	7eg6_M|P18480|HM
7emd_A|O19075|AC	7emd_C|P22776|AC
7evr_A|P14866|AB=CB	7evr_B|Q9BYW2|AB=CB
7f4l_B|I7M8B9|BF	7f4l_F|Q22VV9|BF
7f53_R|P32245|RL	7f53_L|P01189|RL
7f90_A|P78406|AE	7f90_E|P59634|AE
7fax_A|Q586Y0|AB	7fax_B|Q38DC5|AB
7fc0_B|A0A1I4IFL0|BA	7fc0_A|A0A915Q9E8|BA
7fc0_C|A0A1I4IFH0|CA	7fc0_A|A0A915Q9E8|CA
7jfo_B|P08475|Bq	7jfo_q|Q94ET8|Bq
7jfo_O|P00877|Oq	7jfo_q|Q94ET8|Oq
7jvo_A|P52293|AB	7jvo_B|Q9BYF1|AB
7jvs_B|Q2FXS9|BC=DC	7jvs_C|Q2FXT0|BC=DC
7k3j_A|Q24117|AB=GB=IB=KB	7k3j_B|Q9W2H9|AB=GB=IB=KB
7kcl_A|Q12931|AC=BC	7kcl_C|P21912|AC=BC
7kgo_A|Q861F7|AC	7kgo_C|P0DTC9|AC
7knu_R|Q16602|RP	7knu_P|P06881|RP
7l04_E|P52293|EC	7l04_C|C0LA97|EC
7l1b_A|P04439|AC	7l1b_C|P42336|AC
7lew_A|P60604|AB	7lew_B|Q9Y679|AB
7lj0_B|P11393|BA	7lj0_A|A0A5J4Z323|BA
7lo0_A|Q9Y294|AI	7lo0_I|Q86UE8|AI
7lps_B|Q96SW2|BC	7lps_C|Q9UKS7|BC
7mja_A|A0A5H2UYS3|AC	7mja_C|Q99453|AC
7n2o_A|A3F718|AC	7n2o_C|P62723|AC
7n9j_A|P01899|AC	7n9j_C|P38533|AC
7nad_I|Q07896|IG	7nad_G|P17076|IG
7nad_m|Q04660|mt	7nad_t|P40693|mt
7naf_5|Q04031|5q	7naf_q|P40991|5q
7naf_w|P25582|wq	7naf_q|P40991|wq
7nlc_A|Q99816|AB	7nlc_B|Q9YLR0|AB
7ntk_A|Q8N3R9|AC	7ntk_C|P0DTC4|AC
7nuf_A|P42224|AC	7nuf_C|P17356|AC
7nvv_2|Q92759|2W	7nvv_W|P29083|2W
7nvv_7|P19447|7W	7nvv_W|P29083|7W
7o1f_A|G0SF70|AJ	7o1f_J|G0RZ52|AJ
7o3j_A|O50337|AC	7o3j_C|O50334|AC
7o3j_B|O50336|BC	7o3j_C|O50334|BC
7o4k_G|P34087|GF	7o4k_F|P20435|GF
7o54_A|Q03513|AB	7o54_B|P27134|AB
7o6n_A|Q20057|AC=BC	7o6n_C|O76616|AC=BC
7oe2_A|D0LZ74|A1	7oe2_1|D0LZ73|A1
7of0_8|Q9NQ50|8m	7of0_m|Q7Z7F7|8m
7ohi_A|P17427|AB	7ohi_B|O14526|AB
7oq4_E|P39466|EF	7oq4_F|Q4JB12|EF
7os1_B|O75643|BF	7os1_F|O75554|BF
7ose_A|P26459|AC	7ose_C|P24244|AC
